year,month,period,tendays,Q_cms,era
1987,3,early,7,7.72,EIA
1988,3,early,7,8.86,EIA
1989,3,early,7,5.73,EIA
1990,3,early,7,10.18,EIA
1991,3,early,7,6.74,EIA
1992,3,early,7,12.71,EIA
1993,3,early,7,5.6,EIA
1994,3,early,7,10,EIA
1995,3,early,7,12.67,EIA
1996,3,early,7,6.7,EIA_Difference
1997,3,early,7,12.66,EIA_Difference
1998,3,early,7,9.24,EIA_Difference
1999,3,early,7,6.19,EIA_Difference
2000,3,early,7,9.72,EIA_Difference
2001,3,early,7,8.65,EIA_Difference
2002,3,early,7,6.66,EIA_Difference
2003,3,early,7,5.06,EIA_Difference
2004,3,early,7,9.2,EIA_Difference
2005,3,early,7,18.01,EIA_Difference
2006,3,early,7,9.88,Current
2007,3,early,7,9.64,Current
2008,3,early,7,14.24,Current
2009,3,early,7,5.89,Current
2010,3,early,7,7.16,Current
2011,3,early,7,7.01,Current
2012,3,early,7,11.7,Current
2013,3,early,7,1.61,Current
2014,3,early,7,8.35,Current
2015,3,early,7,11.02,Current
2016,3,early,7,14.88,Current
2017,3,early,7,8.17,Current
2018,3,early,7,17.08,Current
2019,3,early,7,7.62,Current
1959,3,mid,8,3,EIA
1960,3,mid,8,8.17,EIA
1961,3,mid,8,6.37,EIA
1962,3,mid,8,7.24,EIA
1963,3,mid,8,6.9,EIA
1964,3,mid,8,6.3,EIA
1965,3,mid,8,6.63,EIA
1966,3,mid,8,8.09,EIA
1967,3,mid,8,6.15,EIA
1968,3,mid,8,7.21,EIA
1969,3,mid,8,12.19,EIA
1970,3,mid,8,6.23,EIA
1971,3,mid,8,8.71,EIA
1972,3,mid,8,13.88,EIA
1973,3,mid,8,8.86,EIA
1974,3,mid,8,5.98,EIA
1975,3,mid,8,4.4,EIA
1976,3,mid,8,11.73,EIA
1977,3,mid,8,7.85,EIA
1978,3,mid,8,7.3,EIA
1979,3,mid,8,14.6,EIA
1980,3,mid,8,4.81,EIA
1981,3,mid,8,7.07,EIA
1982,3,mid,8,9.57,EIA
1983,3,mid,8,8.37,EIA
1984,3,mid,8,3,EIA
1985,3,mid,8,7.11,EIA
1986,3,mid,8,7.75,EIA
1987,3,mid,8,7.59,EIA
1988,3,mid,8,7.62,EIA
1989,3,mid,8,8.21,EIA
1990,3,mid,8,5.63,EIA
1991,3,mid,8,8.68,EIA
1992,3,mid,8,7.46,EIA
1993,3,mid,8,9.53,EIA
1994,3,mid,8,7.7,EIA
1995,3,mid,8,7.2,EIA
1996,3,mid,8,8,EIA_Difference
1997,3,mid,8,6.25,EIA_Difference
1998,3,mid,8,8.92,EIA_Difference
1999,3,mid,8,11.55,EIA_Difference
2000,3,mid,8,5.38,EIA_Difference
2001,3,mid,8,7.5,EIA_Difference
2002,3,mid,8,6.97,EIA_Difference
2003,3,mid,8,6.01,EIA_Difference
2004,3,mid,8,5.15,EIA_Difference
2005,3,mid,8,11.15,EIA_Difference
2006,3,mid,8,8.79,Current
2007,3,mid,8,9.17,Current
2008,3,mid,8,13.08,Current
2009,3,mid,8,5.16,Current
2010,3,mid,8,6.61,Current
2011,3,mid,8,7.48,Current
2012,3,mid,8,10.76,Current
2013,3,mid,8,1.62,Current
2014,3,mid,8,8.48,Current
2015,3,mid,8,11.1,Current
2016,3,mid,8,27.41,Current
2017,3,mid,8,7.17,Current
2018,3,mid,8,13.5,Current
2019,3,mid,8,5.46,Current
1959,3,late,9,7.47,EIA
1960,3,late,9,7.15,EIA
1961,3,late,9,8.58,EIA
1962,3,late,9,9.5,EIA
1963,3,late,9,6.06,EIA
1964,3,late,9,5.82,EIA
1965,3,late,9,6.03,EIA
1966,3,late,9,6.76,EIA
1967,3,late,9,7.09,EIA
1968,3,late,9,13.27,EIA
1969,3,late,9,5.69,EIA
1970,3,late,9,8.03,EIA
1971,3,late,9,9.91,EIA
1972,3,late,9,7.67,EIA
1973,3,late,9,6.11,EIA
1974,3,late,9,5.45,EIA
1975,3,late,9,11.18,EIA
1976,3,late,9,6.69,EIA
1977,3,late,9,6.61,EIA
1978,3,late,9,22.7,EIA
1979,3,late,9,8.78,EIA
1980,3,late,9,6.58,EIA
1981,3,late,9,11.26,EIA
1982,3,late,9,6.46,EIA
1983,3,late,9,18.63,EIA
1984,3,late,9,6.65,EIA
1985,3,late,9,6.38,EIA
1986,3,late,9,8.31,EIA
1987,3,late,9,10.15,EIA
1988,3,late,9,7.45,EIA
1989,3,late,9,7.61,EIA
1990,3,late,9,10.42,EIA
1991,3,late,9,7.48,EIA
1992,3,late,9,8.35,EIA
1993,3,late,9,8.58,EIA
1994,3,late,9,7.42,EIA
1995,3,late,9,7.35,EIA
1996,3,late,9,6.77,EIA_Difference
1997,3,late,9,18.37,EIA_Difference
1998,3,late,9,9.45,EIA_Difference
1999,3,late,9,5.26,EIA_Difference
2000,3,late,9,5.45,EIA_Difference
2001,3,late,9,7.86,EIA_Difference
2002,3,late,9,6.02,EIA_Difference
2003,3,late,9,5.12,EIA_Difference
2004,3,late,9,6.87,EIA_Difference
2005,3,late,9,10.62,EIA_Difference
2006,3,late,9,17.59,Current
2007,3,late,9,7.6,Current
2008,3,late,9,10.98,Current
2009,3,late,9,4.45,Current
2010,3,late,9,6.02,Current
2011,3,late,9,6.25,Current
2012,3,late,9,9.14,Current
2013,3,late,9,1.7,Current
2014,3,late,9,6.88,Current
2015,3,late,9,10.44,Current
2016,3,late,9,18.94,Current
2017,3,late,9,7.22,Current
2018,3,late,9,10.87,Current
2019,3,late,9,8.19,Current
1959,4,early,10,6.28,EIA
1960,4,early,10,8.44,EIA
1961,4,early,10,7,EIA
1962,4,early,10,8.85,EIA
1963,4,early,10,5.5,EIA
1964,4,early,10,5.72,EIA
1965,4,early,10,5.83,EIA
1966,4,early,10,7.14,EIA
1967,4,early,10,6.69,EIA
1968,4,early,10,13.44,EIA
1969,4,early,10,5.92,EIA
1970,4,early,10,6.91,EIA
1971,4,early,10,8.42,EIA
1972,4,early,10,6.66,EIA
1973,4,early,10,6.22,EIA
1974,4,early,10,11.12,EIA
1975,4,early,10,10.78,EIA
1976,4,early,10,6.61,EIA
1977,4,early,10,7.09,EIA
1978,4,early,10,17.86,EIA
1979,4,early,10,7.72,EIA
1980,4,early,10,5.28,EIA
1981,4,early,10,8.19,EIA
1982,4,early,10,5.67,EIA
1983,4,early,10,13.75,EIA
1984,4,early,10,7.1,EIA
1985,4,early,10,6.96,EIA
1986,4,early,10,7.52,EIA
1987,4,early,10,6.56,EIA
1988,4,early,10,9.93,EIA
1989,4,early,10,8.78,EIA
1990,4,early,10,7.76,EIA
1991,4,early,10,7.44,EIA
1992,4,early,10,7.19,EIA
1993,4,early,10,9.46,EIA
1994,4,early,10,6.16,EIA
1995,4,early,10,9.52,EIA
1996,4,early,10,7.05,EIA_Difference
1997,4,early,10,11.51,EIA_Difference
1998,4,early,10,7.31,EIA_Difference
1999,4,early,10,5.84,EIA_Difference
2000,4,early,10,6.03,EIA_Difference
2001,4,early,10,8.28,EIA_Difference
2002,4,early,10,5.58,EIA_Difference
2003,4,early,10,4.89,EIA_Difference
2004,4,early,10,8.56,EIA_Difference
2005,4,early,10,11.52,EIA_Difference
2006,4,early,10,12.76,Current
2007,4,early,10,8.1,Current
2008,4,early,10,11.48,Current
2009,4,early,10,4.51,Current
2010,4,early,10,5.38,Current
2011,4,early,10,5.78,Current
2012,4,early,10,7.69,Current
2013,4,early,10,1.76,Current
2014,4,early,10,6.93,Current
2015,4,early,10,7.01,Current
2016,4,early,10,12.67,Current
2017,4,early,10,8.35,Current
2018,4,early,10,7.37,Current
2019,4,early,10,11.66,Current
1959,4,mid,11,4,EIA
1960,4,mid,11,6.06,EIA
1961,4,mid,11,6.96,EIA
1962,4,mid,11,5.8,EIA
1963,4,mid,11,8.73,EIA
1964,4,mid,11,4.86,EIA
1965,4,mid,11,5.84,EIA
1966,4,mid,11,5.95,EIA
1967,4,mid,11,7.16,EIA
1968,4,mid,11,21.57,EIA
1969,4,mid,11,10.56,EIA
1970,4,mid,11,5.3,EIA
1971,4,mid,11,6.73,EIA
1972,4,mid,11,7.38,EIA
1973,4,mid,11,6.85,EIA
1974,4,mid,11,5.91,EIA
1975,4,mid,11,8.9,EIA
